year,id1,id2
2005,1,36296
2005,1,51332
2016,2,59971
2012,5,26563
2014,5,28550
2002,6,26726
2002,6,34548
2002,6,60298
2002,6,60968
2004,6,68644
2005,8,5840
2005,8,66144
2000,9,28101
1977,9,38956
2006,10,62475
2004,10,80163
2012,11,25818
2014,11,32717
2012,11,36759
2012,11,54306
2015,11,75459
2014,11,76317
2013,12,14277
2013,12,17020
2013,12,28453
2014,13,1603
2014,13,77184
2005,14,15523
2005,14,77995
2016,16,11888
2016,16,18330
2016,16,29104
2016,16,37706
2004,17,6092
2009,17,32893
2004,17,58559
2006,20,23762
2006,20,30192
2006,20,43295
2002,21,35430
2005,22,1065
2008,22,3080
2008,22,29519
2008,22,35731
2005,22,36883
2008,22,61285
2017,23,14808
2014,24,4112
2014,24,10800
2014,24,64160
2014,24,74378
2000,25,52666
2009,25,55274
2009,25,55477
2000,25,56093
2003,27,23848
2004,28,18760
2004,28,20792
2004,28,66400
2004,28,77803
2009,29,4003
2004,30,1841
2004,30,9718
2004,30,40010
2004,30,40965
2004,30,51152
2004,30,51230
2004,30,51232
2004,30,56356
2004,30,57685
2004,30,64070
2004,30,64105
2004,30,67154
2004,30,74938
2006,32,4691
2001,32,19026
2004,32,24469
2004,32,46000
2001,32,56985
2003,32,67186
2003,32,67957
2016,34,4468
2001,34,33629
2012,34,35573
2016,34,73606
2010,34,80178
2005,35,59157
1995,38,41884
2000,38,56039
2000,38,79230
2004,39,14615
2005,40,12438
2005,40,31587
2005,40,51486
2005,40,56797
2014,41,79181
2013,42,73045
2001,43,63133
2016,44,61785
1998,45,51713
2014,46,39068
2005,47,3742
2005,47,6409
2005,47,12830
2005,47,33334
2005,47,36192
2005,47,40287
2005,47,65662
2005,47,68981
2005,47,74598
2005,47,76898
1997,48,59642
2005,49,73846
2003,50,40529
2003,50,48736
2015,51,7566
2005,51,8772
2001,51,30966
2007,51,36652
2013,51,39499
2007,51,48887
2009,51,50501
2015,51,57050
2003,51,77122
2006,52,26727
2010,53,45363
2010,53,63921
2009,54,1343
2009,54,26688
2011,54,36601
2009,54,37780
2009,54,38604
1984,55,40533
2000,57,47631
2004,58,41600
2004,58,52332
2014,59,3994
2016,59,12698
2014,59,26924
2015,59,44385
2016,59,45214
1995,60,49363
1996,61,55766
2000,63,593
2000,63,38045
1998,63,39195
2000,63,51211
2000,63,52207
2000,63,53282
2014,64,3717
2014,64,56625
2005,66,9017
2001,66,27874
2004,66,58954
2004,66,64302
1986,68,9130
1993,68,13195
1993,68,21013
1993,68,25617
1986,68,30333
1979,68,37298
1986,68,58500
1997,69,14986
2002,69,26841
2002,69,61296
2009,70,6582
2009,70,16903
2009,70,35996
2009,70,47216
2009,70,66157
2015,71,50911
2012,71,61277
2015,71,79051
2005,72,71744
2004,73,18449
2005,73,27609
2005,73,56068
2004,73,56912
2000,73,68596
2013,74,18281
2012,76,29421
2005,77,1540
