year,id1,id2
2005,1,5843
2005,1,47207
2012,2,9407
2012,2,24049
2015,2,25950
2016,2,29027
2012,2,78010
2014,3,15113
2006,4,42027
2014,5,12222
2012,5,16259
2012,5,27127
2012,5,29269
2012,5,30145
2012,5,54432
2012,5,57889
2012,5,69633
2002,6,2729
2002,6,2739
2002,6,2797
2004,6,34357
2002,6,41725
2002,6,58245
2004,6,67994
2004,6,76717
2006,6,78019
2003,7,14215
2001,7,73055
2003,7,77291
2005,8,16276
2005,8,69516
2000,9,53734
2001,10,451
2001,10,3106
2001,10,25341
2004,10,33741
2001,10,36234
2014,11,13343
2014,11,37412
2013,12,16387
2013,12,70151
2014,13,41655
2006,15,41217
2006,15,74454
2016,16,23409
2005,16,46117
2009,17,11270
2004,17,16460
2009,17,17467
2000,18,57561
1998,18,73169
1998,18,74322
2002,19,22284
2002,19,77906
2006,20,30040
2006,20,40389
2006,20,67380
2006,21,3366
2002,21,55463
2004,21,57974
2006,21,59207
2008,22,11023
2008,22,34427
2008,22,36866
2005,22,37025
2005,22,39497
2006,22,41479
2008,22,44465
2008,22,51814
2008,22,56060
2004,22,59968
2004,22,62967
2005,22,67640
2005,22,75793
2017,23,1847
2017,23,2530
2014,24,16800
2014,24,38271
2014,24,42156
2014,24,45207
2014,24,79579
2009,25,29
2009,25,4003
2009,25,26908
2000,25,55258
2005,25,55463
2001,26,13953
2001,26,55856
2001,26,71278
2003,27,30730
2003,27,45108
2004,28,55173
2009,29,26908
2009,29,55274
2009,29,55477
2004,30,831
2004,30,7927
2004,30,8633
2004,30,10000
2004,30,13350
2004,30,15226
2004,30,17187
2004,30,21026
2004,30,21635
2004,30,26579
2004,30,27347
2004,30,32329
2004,30,38561
2004,30,47895
2004,30,56126
2004,30,56247
2004,30,59614
2004,30,65578
2004,30,72098
2004,30,74138
2004,30,78898
2004,30,78899
2014,31,33411
2006,32,308
2004,32,2017
2003,32,2117
2006,32,17049
2006,32,44694
2003,32,60722
2012,34,1095
2016,34,1467
2008,34,8613
2015,34,10684
2012,34,11504
2005,34,23517
2015,34,36639
2012,34,48882
2007,34,51157
2012,34,53622
2008,34,66948
2007,34,67009
2012,34,67112
2005,35,10114
2005,35,16117
2014,36,28986
2000,36,33291
2001,37,25826
2004,37,69114
2000,38,21004
1995,38,26268
2011,38,31129
1998,38,55642
2000,38,56137
2012,38,61183
1995,38,61332
2000,38,64717
2000,38,74123
2005,40,76592
2014,41,29261
2014,41,39308
2014,41,60647
2013,42,28642
2003,43,7441
2000,43,29076
2005,43,31511
2005,43,44108
2000,43,44771
1999,43,59074
2000,43,64614
2014,44,29673
1998,45,25886
1998,45,43959
1998,45,52654
1998,45,74105
2000,45,74537
2014,46,76473
2005,47,8834
2005,47,11289
2005,47,13628
2005,47,14762
2005,47,17734
2005,47,25474
2005,47,36839
2005,47,39599
2005,47,46368
2005,47,46923
2005,47,50699
2005,47,62089
2005,47,64075
2005,47,80168
2005,49,39932
2003,50,1341
2003,50,18482
2003,50,30449
2016,51,9096
2009,51,13640
2003,51,29780
2013,51,30109
2016,51,31421
2001,51,36924
2004,51,37103
2014,51,38417
2009,51,43298
2013,51,56117
2007,51,57474
2015,51,59430
2007,51,61888
2003,51,63597
2007,51,65367
2003,51,70338
2005,51,77407
2002,52,7317
2006,52,21459
2010,53,46731
2013,54,601
2013,54,5214
2011,54,10526
2013,54,52273
2008,54,53656
2009,54,58508
2009,54,67664
2013,54,69529
1984,55,36454
2005,56,5618
2005,56,55837
2002,57,4617
2000,57,26703
2014,59,2204
2014,59,2820
2014,59,11268
2014,59,18816
2015,59,20177
2014,59,31375
2014,59,34718
2016,59,39369
2014,59,56835
1995,60,9840
2008,60,16619
2002,60,44265
1995,60,59856
2002,60,70153
1995,60,77292
1996,61,388
1997,61,7265
1997,61,9102
1996,61,17491
1997,61,23812
1997,61,51669
2014,62,16592
2014,62,22247
1998,63,2764
2000,63,5758
2000,63,19775
1998,63,31240
2006,65,33381
2006,65,68132
2006,65,77976
2004,66,3875
2004,66,13596
2004,66,22899
2001,66,26400
2004,66,36957
2001,66,42680
1999,67,34323
1999,67,47964
1999,67,49345
1999,67,49534
1993,68,2991
1993,68,6221
1986,68,14668
1986,68,20394
1993,68,56350
1993,68,62698
1993,68,70089
1999,69,8281
2002,69,57560
2009,70,57103
2009,70,66559
2014,71,6786
2012,71,32956
2012,71,70895
2005,73,1185
2001,73,4733
2004,73,9123
2005,73,15840
2003,73,19322
2005,73,26565
2005,73,28767
2004,73,31349
2006,73,35231
2003,73,35340
2006,73,38308
2003,73,39753
2004,73,45339
2002,73,47581
2004,73,49701
2013,74,4159
2006,75,57086
2012,76,48358
2005,77,27896
2006,77,71058
2012,78,32479
2012,78,56462
2012,78,71226
2016,79,41692
2005,80,396
2005,80,9078
2005,80,20009
2006,81,60470
2006,81,62455
2006,81,66437
2003,82,28969
2002,84,51408
2002,84,54130
2005,84,77357
1997,85,7174
1997,85,28330
2000,85,31620
2000,85,46753
2001,85,50000
1983,85,55678
2005,86,37019
2005,86,49871
2011,87,15265
2011,87,17327
2015,87,29448
2011,87,37451
2011,87,45003
2011,87,55285
2011,87,56986
2011,87,73918
2016,88,7382
2016,88,25602
2016,88,61274
1996,89,7805
2006,90,3041
2006,92,56836
2006,92,64554
2014,94,3570
2012,94,19754
2014,94,40727
2016,94,47847
2012,94,57832
2015,94,71170
2015,94,75371
2003,95,16446
2003,95,35809
2014,95,41573
2014,95,61759
2003,95,68791
2003,96,2231
2003,96,5463
2006,96,8982
2003,96,14033
2003,96,15331
2003,96,50984
2006,96,56450
2003,96,57941
2006,97,10925
2006,97,58297
2002,98,31823
2002,98,43429
2011,99,38525
2011,99,43786
2003,100,7611
2001,100,64641
2005,102,24388
2007,103,626
2007,103,2193
2007,103,6476
2007,103,6711
2008,103,11433
2008,103,29498
2007,103,40248
2007,103,48672
2010,103,65922
2016,104,27373
2010,105,21325
2010,105,25882
2010,105,30779
2010,105,54138
2010,105,62560
2003,105,76851
2006,106,31771
2006,106,69305
2008,107,280
2008,107,8697
2008,107,55755
2004,108,19164
2004,108,30389
2004,108,35032
2004,108,59173
2009,109,3295
2006,109,28518
2009,109,29792
2009,109,42124
2009,109,53823
2006,110,9424
2006,110,58059
2005,110,71892
2005,110,77773
2006,111,47670
2004,113,10310
2006,113,13933
2004,113,18602
2006,113,24221
2004,113,27346
2004,113,32337
