author,number_titles,id
Peter G. Neumann,89,50640
Peter J. Denning,80,26652
Moshe Y. Vardi,72,1397
Pamela Samuelson,71,51305
Bart Preneel,65,53066
Vinton G. Cerf,56,2029
Barry W. Boehm,53,698
Mark Guzdial,49,1351
Edwin R. Hancock,47,26736
Josef Kittler,46,51450
Robert L. Glass,44,1282
Michael A. Cusumano,42,69
Jeff Kramer,39,495
Hal Berghel,39,51380
Tao Xie,39,52710
Nenad Medvidovic,38,50936
Leon J. Osterweil,37,26474
Richard N. Taylor,34,25477
Horst Bunke,34,25768
David A. Patterson,34,25914
David Garlan,34,26889
Robert P. W. Duin,34,52828
Miroslav Krstic,33,2233
Wen Gao,33,3753
Fabio Roli,33,4092
Giancarlo Mauri,33,26149
Thomas Stützle,33,51049
Ilya V. Kolmanovsky,33,51455
Andrzej Skowron,33,52552
Seymour E. Goodman,33,52977
Bernard A. Galler,33,53070
Barry Smyth,32,1935
David Lorge Parnas,32,51141
Neil Savage,32,52265
David Roman,31,732
Marian Bubak,31,26588
Licheng Jiao,31,27557
Premkumar T. Devanbu,31,52624
Michael D. Ernst,30,29468
Joachim Weickert,30,30895
Marco Dorigo,30,50505
Rick Kazman,29,1305
Margaret-Anne D. Storey,29,2367
Tien N. Nguyen,29,25399
Victor R. Basili,29,26657
André van der Hoek,29,30546
Bertrand Meyer,29,51051
Thomas Zimmermann,29,52998
Kevin J. Sullivan,29,53458
Dewayne E. Perry,29,53630
Leah Hoffmann,29,55001
Anil K. Jain,28,26563
David Notkin,28,27644
James D. Herbsleb,28,29324
Warren E. Dixon,28,51369
Mauro Pezzè,27,1813
Lionel C. Briand,27,2085
John Mylopoulos,27,51108
Gail C. Murphy,27,53270
Douglas C. Schmidt,26,649
Karen A. Frenkel,26,926
Jack Dongarra,26,25548
Carlo Ghezzi,26,25930
Denys Poshyvanyk,26,50678
George J. Pappas,26,51793
Roman Słowiński,25,1715
Elliot Soloway,25,3271
Jan Bosch,25,7451
Vincent Rijmen,25,26038
Wolfgang Emmerich,25,27183
Pierpaolo Degano,25,53328
Emilio Luque,25,53833
Dennis S. Bernstein,25,57002
Tim Menzies,24,618
Lori A. Clarke,24,4492
Lu Zhang,24,6045
Faculteit der Exacte Wetenschappen,24,25966
Tom Holvoet,24,27685
Gerald Sommer,24,52273
Frank Maurer,24,52309
Giancarlo Succi,23,414
Don S. Batory,23,3193
Mary Shaw,23,3345
Saul Gorn,23,26508
Klaus Miesenberger,23,27024
Thomas A. Henzinger,23,27291
Mario Piattini,23,50922
Ben Shneiderman,23,53603
Bruce Schneier,23,55829
Gruia-Catalin Roman,22,1161
Sebastian Uchitel,22,1254
Gregg Rothermel,22,1325
Matthew B. Dwyer,22,2122
Junmin Wang,22,2820
Paul Suetens,22,25534
Diane Crawford,22,50617
Atsushi Imiya,22,50977
Jeff Magee,22,51843
Martin P. Robillard,22,52347
João Pedro Hespanha,22,52527
Asok Ray,22,56519
David Zhang,21,1184
Ahmed E. Hassan,21,1471
Jaihie Kim,21,1553
Katsumi Tanaka,21,1862
Herbert Werner,21,2211
Michele Lanza,21,25348
Shankar Sastry,21,25933
Xavier Franch,21,26154
Hausi A. Müller,21,26317
William Gropp,21,26878
Claire J. Tomlin,21,30993
Elizabeth Chang,21,50570
Mohamed E. Fayad,21,51271
Alessandro Orso,21,51801
Maurice Bruynooghe,21,52517
Hideki Imai,21,52768
Michael Stonebraker,21,52991
Joos Vandewalle,21,55686
Shusaku Tsumoto,20,764
Alexander L. Wolf,20,2262
Rocco Oliveto,20,2766
Florian Mendel,20,3702
Magnus Egerstedt,20,3795
Martin Middendorf,20,26133
Nachiappan Nagappan,20,27022
Jon Whittle,20,27044
Katsuro Inoue,20,27381
Atsuko Miyaji,20,27417
John C. Grundy,20,28396
Tharam S. Dillon,20,28546
Arie van Deursen,20,29494
Miryung Kim,20,29884
Salvatore Greco,20,52041
Mauro Birattari,20,53115
Hassan Gomaa,20,53464
Willy Susilo,20,55791
Carlos Silvestre,19,633
Holger Giese,19,892
Luc J. Van Gool,19,1499
Tieniu Tan,19,1547
Mario Vento,19,1594
Danny Weyns,19,1705
Phill Kyu Rhee,19,2144
Simon Parsons,19,2302
Tamer Basar,19,3989
Niklaus Wirth,19,6623
Emerson R. Murphy-Hill,19,9445
Alexander Egyed,19,25430
Nikolai Tillmann,19,25571
Jan Jürjens,19,26002
Daniela Damian,19,26102
Stefano Di Cairano,19,27340
Ian Gorton,19,27679
Wei Wang,19,28220
Richard D. Braatz,19,28846
Peter Naur,19,50530
Ingrid Verbauwhede,19,51200
Claudio Zandron,19,51629
Zohar Manna,19,52271
Jun Zhang,19,54722
J. Karl Hedrick,19,57225
Jing Sun,19,57884
Mohamed S. Kamel,18,73
Harald C. Gall,18,803
Jan Treur,18,833
Gian Pietro Picco,18,1089
Piet Demeester,18,1475
Giovanni Semeraro,18,1952
Hanan Samet,18,2031
Jun Sun,18,2063
Michael Leuschel,18,2396
Daniel A. Reed,18,2568
Mark Harman,18,3130
Adam A. Porter,18,3186
Alexander Romanovsky,18,3331
Moti Yung,18,25653
Wouter Joosen,18,25959
Yuriy Brun,18,26580
Neil A. M. Maiden,18,26947
Christian Bird,18,27045
Betty H. C. Cheng,18,27300
Jin Song Dong,18,27837
Lauren Weinstein,18,29435
Bashar Nuseibeh,18,29919
Pádraig Cunningham,18,30059
Kee-Young Yoo,18,30923
Alberto Leporati,18,50772
Punam Bedi,18,50805
Gerard Salton,18,51359
Steve M. Easterbrook,18,51499
Audris Mockus,18,51711
Nir A. Sochen,18,51807
Brad A. Myers,18,52062
Luciano Baresi,18,52575
Constantine Stephanidis,18,53346
George V. Neville-Neil,18,53390
Roland Wismüller,18,54726
Christian Rechberger,18,55368
Antonia Bertolino,18,55406
Jean-Jacques Quisquater,18,56606
B. H. Shekar,17,429
Mineichi Kudo,17,593
Baowen Xu,17,878
Panos J. Antsaklis,17,1329
Bill Curtis,17,1584
Antonio Cerone,17,2181
John C. Knight,17,2906
Rajeev Alur,17,3146
Gabriele Bavota,17,4545
George Pavlou,17,6626
Koushik Sen,17,25416
Aranya Chakrabortty,17,25479
Gonzalo Navarro,17,25592
Sebastian G. Elbaum,17,26343
Karl Henrik Johansson,17,26550
Marin Litoiu,17,27558
Sungyoung Lee,17,28179
Orr Dunkelman,17,28613
Sarfraz Khurshid,17,28800
Yang Liu,17,29665
Christoph Schnörr,17,30077
Luc Florack,17,30704
John Hatcliff,17,32872
